basic,10,1,1,저는 헬스장 가기 전에는 아무것도 안 먹어요.,I usually don`t eat before the gym.,basic_day10_1.mp3,basic_day10_2.mp3
basic,10,2,1,점심시간 전에 들어올게요.,I will be back before lunch.,basic_day10_3.mp3,basic_day10_4.mp3
basic,10,3,1,수업 시작하기 전에 이야기 좀 할 수 있을까?,Can I talk to you before class?,basic_day10_5.mp3,basic_day10_6.mp3
basic,10,4,1,저녁 먹고 다시 전화할게.,Let me call you back after dinner.,basic_day10_7.mp3,basic_day10_8.mp3
basic,10,5,1,퇴근하고 산택 가자,Let`s go for a walk after work.,basic_day10_9.mp3,basic_day10_10.mp3
basic,10,6,1,보통 예배 끝나고 뭐 해요?,What do you usually do after church?,basic_day10_11.mp3,basic_day10_12.mp3
basic,10,6,2,바로 테니스 강습 받으러 갑니다.,I head straight to my tennis lesson.,basic_day10_13.mp3,basic_day10_14.mp3
basic,10,7,1,헬스장 다녀와서 뭐 해요?,What are you doing after the gym?,basic_day10_15.mp3,basic_day10_16.mp3
basic,10,7,2,다시 사무실 가야 해요.,I need to head back to work.,basic_day10_17.mp3,basic_day10_18.mp3
basic,10,7,3,엄청 바쁘군요. 퇴근하고는요?,You`re so busy. What about after work?,basic_day10_19.mp3,basic_day10_20.mp3
basic,10,7,4,나편 만나서 한잔해요.,I`m meeting my husband for a drink.,basic_day10_21.mp3,basic_day10_22.mp3
